"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"oe55","Nong Tum Jim Joom Pla Phao","Thai","4","(1)","Bangkok"
"xjhu","Coco Legends","Thai","2.9","(2)","Bangkok"
"id3t","Krua Kod Zaab","Thai","4.1","(24)","Bangkok"
"m8cy","Por Kaotompla (Prachasongkroh)","Thai","4.7","(500+)","Bangkok"
"u8lj","Por Rangsit Guay Jub Narm Kon","Thai","4.6","(500+)","Bangkok"
"cfxc","Kon PhuThai Tam Raboed","Thai","5","(1)","Bangkok"
"lacl","Ahan Thai Jeen Loet Rot","Thai","3.8","(8)","Bangkok"
"ir76","Krua Nong Yok (Pracha Songkhro 30)","Thai","4.5","(1000+)","Bangkok"
"g0it","Pizza Aloha by Note","Italian","4.3","(100+)","Bangkok"
"p0jf","Shri Vrindavan Restaurant","Indian","4.4","(1000+)","Bangkok"
"p9wu","Mother India Restaurant","Indian","4","(100+)","Bangkok"
"blkw","Leng Saab Aroi Sut at Huai Khwang","Thai","4.2","(6)","Bangkok"
"jsmo","New Sarakham Jim Jum Lat Prao 83","Thai","4.8","(100+)","Bangkok"
"u1rr","Zeed Here Here","Thai","4.7","(500+)","Bangkok"
"c2yp","Kao Mun Kai Pak Tai","Thai","4.5","(2000+)","Bangkok"
"u6nf","Tung Thong Krua Thai","Thai","4.6","(2000+)","Bangkok"
"c0hc","Soho Pizza (the COMMONS Saladaeng)","American","4.6","(1000+)","Bangkok"
"g2wf","Por Pran Lab Ped Roi Et","Thai","4.7","(500+)","Bangkok"
"zytc","Suk Chai Khao Mun Kai Ton","Thai","4.6","(100+)","Bangkok"
"dik8","Indian Barbecue Nation","Indian","3.4","(75)","Bangkok"
"wudc","Salmon Bay Salmon Dong Kung Dong Sashimi Yum","Korean","4.9","(90)","Bangkok"
"ouaj","Somtam Yaem Zap Lai","Asian","4.8","(9)","Bangkok"
